sra_accession,site_name,sequencing_lab,date,n_reads_virus_10239_total,n_reads_virus_annotated,n_reads_virus_not_annotated,n_reads_virus_vertebrate_7742_status_0,n_reads_virus_vertebrate_7742_status_1,n_reads_virus_vertebrate_7742_status_2,n_reads_virus_vertebrate_7742_status_3,n_reads_virus_invertebrate_33208m7742_status_0,n_reads_virus_invertebrate_33208m7742_status_1,n_reads_virus_invertebrate_33208m7742_status_2,n_reads_virus_invertebrate_33208m7742_status_3,n_reads_virus_plant_33090_status_0,n_reads_virus_plant_33090_status_1,n_reads_virus_plant_33090_status_2,n_reads_virus_plant_33090_status_3,n_reads_virus_fungi_4751_status_0,n_reads_virus_fungi_4751_status_1,n_reads_virus_fungi_4751_status_2,n_reads_virus_fungi_4751_status_3,n_reads_virus_bacteria_2_status_0,n_reads_virus_bacteria_2_status_1,n_reads_virus_bacteria_2_status_2,n_reads_virus_bacteria_2_status_3,n_reads_virus_archaea_2157_status_0,n_reads_virus_archaea_2157_status_1,n_reads_virus_archaea_2157_status_2,n_reads_virus_archaea_2157_status_3,n_reads_virus_other_eukaryote_2759mMFP_status_0,n_reads_virus_other_eukaryote_2759mMFP_status_1,n_reads_virus_other_eukaryote_2759mMFP_status_2,n_reads_virus_other_eukaryote_2759mMFP_status_3,n_reads_virus_virus_10239_status_0,n_reads_virus_virus_10239_status_1,n_reads_virus_virus_10239_status_2,n_reads_virus_virus_10239_status_3,n_reads_virus_metagenome_408169_status_0,n_reads_virus_metagenome_408169_status_1,n_reads_virus_metagenome_408169_status_2,n_reads_virus_metagenome_408169_status_3,n_reads_virus_unclassified_2787823m408169_status_0,n_reads_virus_unclassified_2787823m408169_status_1,n_reads_virus_unclassified_2787823m408169_status_2,n_reads_virus_unclassified_2787823m408169_status_3,n_reads_virus_other_entries_2787854_status_0,n_reads_virus_other_entries_2787854_status_1,n_reads_virus_other_entries_2787854_status_2,n_reads_virus_other_entries_2787854_status_3,n_reads_virus_host_root_1_status_0,n_reads_virus_host_root_1_status_1,n_reads_virus_host_root_1_status_2,n_reads_virus_host_root_1_status_3,n_reads_virus_unknown,n_reads_virus_vertebrate_7742_exclusive,n_reads_virus_invertebrate_33208m7742_exclusive,n_reads_virus_plant_33090_exclusive,n_reads_virus_fungi_4751_exclusive,n_reads_virus_bacteria_2_exclusive,n_reads_virus_archaea_2157_exclusive,n_reads_virus_other_eukaryote_2759mMFP_exclusive,n_reads_virus_virus_10239_exclusive,n_reads_virus_metagenome_408169_exclusive,n_reads_virus_unclassified_2787823m408169_exclusive,n_reads_virus_other_entries_2787854_exclusive,n_reads_virus_host_root_1_exclusive,n_reads_virus_unknown_exclusive,fraction_virus_annotated,fraction_virus_not_annotated,fraction_virus_vertebrate_7742_status_0,fraction_virus_vertebrate_7742_status_1,fraction_virus_vertebrate_7742_status_2,fraction_virus_vertebrate_7742_status_3,fraction_virus_invertebrate_33208m7742_status_0,fraction_virus_invertebrate_33208m7742_status_1,fraction_virus_invertebrate_33208m7742_status_2,fraction_virus_invertebrate_33208m7742_status_3,fraction_virus_plant_33090_status_0,fraction_virus_plant_33090_status_1,fraction_virus_plant_33090_status_2,fraction_virus_plant_33090_status_3,fraction_virus_fungi_4751_status_0,fraction_virus_fungi_4751_status_1,fraction_virus_fungi_4751_status_2,fraction_virus_fungi_4751_status_3,fraction_virus_bacteria_2_status_0,fraction_virus_bacteria_2_status_1,fraction_virus_bacteria_2_status_2,fraction_virus_bacteria_2_status_3,fraction_virus_archaea_2157_status_0,fraction_virus_archaea_2157_status_1,fraction_virus_archaea_2157_status_2,fraction_virus_archaea_2157_status_3,fraction_virus_other_eukaryote_2759mMFP_status_0,fraction_virus_other_eukaryote_2759mMFP_status_1,fraction_virus_other_eukaryote_2759mMFP_status_2,fraction_virus_other_eukaryote_2759mMFP_status_3,fraction_virus_virus_10239_status_0,fraction_virus_virus_10239_status_1,fraction_virus_virus_10239_status_2,fraction_virus_virus_10239_status_3,fraction_virus_metagenome_408169_status_0,fraction_virus_metagenome_408169_status_1,fraction_virus_metagenome_408169_status_2,fraction_virus_metagenome_408169_status_3,fraction_virus_unclassified_2787823m408169_status_0,fraction_virus_unclassified_2787823m408169_status_1,fraction_virus_unclassified_2787823m408169_status_2,fraction_virus_unclassified_2787823m408169_status_3,fraction_virus_other_entries_2787854_status_0,fraction_virus_other_entries_2787854_status_1,fraction_virus_other_entries_2787854_status_2,fraction_virus_other_entries_2787854_status_3,fraction_virus_host_root_1_status_0,fraction_virus_host_root_1_status_1,fraction_virus_host_root_1_status_2,fraction_virus_host_root_1_status_3,fraction_virus_unknown,fraction_virus_vertebrate_7742_exclusive,fraction_virus_invertebrate_33208m7742_exclusive,fraction_virus_plant_33090_exclusive,fraction_virus_fungi_4751_exclusive,fraction_virus_bacteria_2_exclusive,fraction_virus_archaea_2157_exclusive,fraction_virus_other_eukaryote_2759mMFP_exclusive,fraction_virus_virus_10239_exclusive,fraction_virus_metagenome_408169_exclusive,fraction_virus_unclassified_2787823m408169_exclusive,fraction_virus_other_entries_2787854_exclusive,fraction_virus_host_root_1_exclusive,fraction_virus_unknown_exclusive
SAMN52958995,"Columbia WWTP, MO",MU,2024-05-14,104992,104992,0,103425,969,581,17,104275,119,594,4,25149,79245,570,28,104391,3,598,0,100891,3495,400,206,104388,6,598,0,104356,38,593,5,104361,33,598,0,103857,523,612,0,104992,0,0,0,104992,0,0,0,83772,20614,572,34,2,986,122,79272,3,3701,6,43,0,523,0,0,20022,314,1.0,0.0,0.9850750533373972,0.0092292746113989,0.0055337549527583,0.0001619170984455,0.9931709082596768,0.0011334196891191,0.0056575739103931,3.8098140810728434e-05,0.2395325358122523,0.7547717921365438,0.0054289850655288,0.000266686985675,0.994275754343188,2.857360560804633e-05,0.0056956720512039,0.0,0.9609398811338008,0.0332882505333739,0.0038098140810728,0.0019620542517525,0.99424718073758,5.714721121609266e-05,0.0056956720512039,0.0,0.9939423956110942,0.0003619323377019,0.0056480493751904,4.7622676013410546e-05,0.9939900182871076,0.0003143096616885,0.0056956720512039,0.0,0.9891896525449558,0.0049813319110027,0.0058290155440414,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7978893629990856,0.196338768668089,0.0054480341359341,0.0003238341968911,1.9049070405364217e-05,0.0093911917098445,0.0011619932947272,0.7550289545870161,2.857360560804633e-05,0.0352503047851264,5.714721121609266e-05,0.0004095550137153,0.0,0.0049813319110027,0.0,0.0,0.1907002438281012,0.0029907040536421
SAMN52958996,"Columbia WWTP, MO",MU,2024-05-21,109550,109550,0,108380,856,296,18,109071,165,309,5,20375,88861,286,28,109234,2,314,0,106075,3153,245,77,109230,6,314,0,109204,32,313,1,109223,13,314,0,108738,482,330,0,109550,0,0,0,109550,0,0,0,92990,16238,289,33,0,874,170,88889,2,3230,6,33,0,482,0,0,15704,160,1.0,0.0,0.9893199452304884,0.007813783660429,0.002701962574167,0.0001643085349155,0.995627567320858,0.0015061615700593,0.0028206298493838,4.564125969876768e-05,0.1859881332724783,0.811145595618439,0.0026106800547695,0.000255591054313,0.997115472387038,1.825650387950707e-05,0.0028662711090826,0.0,0.9682793245093564,0.0287813783660429,0.0022364217252396,0.000702875399361,0.9970789593792788,5.4769511638521227e-05,0.0028662711090826,0.0,0.9968416248288452,0.0002921040620721,0.0028571428571428,9.128251939753536e-06,0.9970150616157006,0.0001186672752167,0.0028662711090826,0.0,0.99258785942492,0.0043998174349612,0.0030123231401186,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8488361478776815,0.1482245549977179,0.0026380648105887,0.0003012323140118,0.0,0.0079780921953445,0.0015518028297581,0.8114011866727522,1.825650387950707e-05,0.0294842537654039,5.4769511638521227e-05,0.0003012323140118,0.0,0.0043998174349612,0.0,0.0,0.1433500684618895,0.0014605203103605
SAMN52958997,"Columbia WWTP, MO",MU,2024-05-28,246076,246076,0,244056,1408,581,31,245082,382,600,12,33047,212417,549,63,245456,8,612,0,239445,6005,462,164,245464,0,612,0,245394,70,600,12,245384,80,612,0,244587,847,642,0,246076,0,0,0,246076,0,0,0,220164,25286,537,89,1,1439,394,212479,8,6169,0,81,0,847,0,0,24403,256,1.0,0.0,0.9917911539524374,0.0057218095222614,0.0023610591849672,0.0001259773403338,0.9959605975389716,0.0015523659357271,0.0024382711032363,4.8765422064727973e-05,0.1342959085810887,0.8632170548936101,0.0022310180594613,0.0002560184658398,0.9974804531933223,3.2510281376485316e-05,0.0024870365253011,0.0,0.9730530405240656,0.0244030299582242,0.001877468749492,0.0006664607682179,0.9975129634746988,0.0,0.0024870365253011,0.0,0.9972284985126546,0.0002844649620442,0.0024382711032363,4.8765422064727973e-05,0.997187860660934,0.0003251028137648,0.0024870365253011,0.0,0.9939490238788016,0.0034420260407353,0.0026089500804629,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8946991986215641,0.1027568718607259,0.0021822526373965,0.0003616768803133,4.0637851720606645e-06,0.0058477868625952,0.0016011313577919,0.8634690095742779,3.2510281376485316e-05,0.0250694907264422,0.0,0.0003291665989369,0.0,0.0034420260407353,0.0,0.0,0.0991685495537963,0.0010403290040475
SAMN52958998,"Columbia WWTP, MO",MU,2024-06-04,180108,180108,0,178921,797,378,12,179564,154,382,8,17332,162386,361,29,179712,6,390,0,176169,3544,265,130,179714,4,390,0,179645,73,387,3,179706,12,390,0,179287,416,405,0,180108,0,0,0,180108,0,0,0,166832,12881,377,18,2,809,162,162414,6,3674,4,76,0,416,0,0,12350,197,1.0,0.0,0.9934095098496458,0.0044251227041552,0.0020987407555466,6.66266906522753e-05,0.9969795900237636,0.0008550425300375,0.0021209496524307,4.441779376818353e-05,0.0962311501987696,0.9016034823550314,0.0020043529437892,0.0001610145024096,0.9978013192084748,3.331334532613765e-05,0.0021653674461989,0.0,0.9781297887933906,0.0196770826393053,0.001471339418571,0.0007217891487329,0.9978124236569168,2.220889688409177e-05,0.0021653674461989,0.0,0.9974293201856664,0.0004053123681346,0.0021487107735358,1.6656672663068825e-05,0.9977680058631488,6.66266906522753e-05,0.0021653674461989,0.0,0.9954416239145402,0.0023097252759455,0.0022486508095142,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9262886712416994,0.0715182001909965,0.0020931885313256,9.994003597841297e-05,1.1104448442045885e-05,0.0044917493948075,0.0008994603238057,0.90175894463322,3.331334532613765e-05,0.0203988717880382,2.220889688409177e-05,0.0004219690407977,0.0,0.0023097252759455,0.0,0.0,0.0685699691296333,0.0010937881715415
SAMN52958999,"Columbia WWTP, MO",MU,2024-06-11,240197,240197,0,238562,873,749,13,239021,414,757,5,23098,216337,704,58,239429,6,762,0,232593,6813,471,320,239434,1,762,0,239348,87,758,4,239396,39,762,0,239133,291,773,0,240197,0,0,0,240197,0,0,0,224262,15146,755,34,0,886,419,216395,5,7133,1,91,0,291,0,0,14619,357,1.0,0.0,0.9931930873408078,0.0036345166675687,0.0031182737502966,5.412224132691083e-05,0.995104018784581,0.0017235852237954,0.0031515797449593,2.0816246664196472e-05,0.096162733089922,0.9006648709184545,0.0029309275303188,0.0002414684613046,0.9968026245123794,2.4979495997035767e-05,0.0031723959916235,0.0,0.96834265207309,0.0283642177046341,0.0019608904357673,0.0013322397865085,0.9968234407590436,4.1632493328392945e-06,0.0031723959916235,0.0,0.9964654013164196,0.000362202691957,0.0031557429942921,1.6652997331357178e-05,0.9966652372843956,0.0001623667239807,0.0031723959916235,0.0,0.995570302709859,0.0012115055558562,0.0032181917342847,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.933658621881206,0.0630565743951839,0.0031432532462936,0.0001415504773165,0.0,0.0036886389088956,0.0017444014704596,0.9009063393797592,2.0816246664196472e-05,0.0296964574911426,4.1632493328392945e-06,0.0003788556892883,0.0,0.0012115055558562,0.0,0.0,0.0608625419967776,0.0014862800118236
SAMN52959000,"Columbia WWTP, MO",MU,2024-06-18,97243,97243,0,95829,294,1111,9,96056,67,1119,1,20574,75549,1107,13,96118,5,1120,0,86081,9993,425,744,96114,9,1120,0,96004,119,1112,8,96121,2,1120,0,95955,160,1128,0,97243,0,0,0,97243,0,0,0,85915,10159,1149,20,2,303,68,75561,4,10737,9,127,0,160,0,0,9895,379,1.0,0.0,0.9854591075964336,0.003023353866088,0.0114249868885163,9.2551648961879e-05,0.9877934658535832,0.0006889956089384,0.0115072550209269,1.0283516551319887e-05,0.2115730695268554,0.7769093919356663,0.0113838528223111,0.0001336857151671,0.9884310438797652,5.1417582756599445e-05,0.0115175385374782,0.0,0.8852153882541673,0.1027631808973396,0.0043704945343109,0.0076509363141819,0.98838990981356,9.2551648961879e-05,0.0115175385374782,0.0,0.9872587229929146,0.001223738469607,0.0114352704050677,8.226813241055911e-05,0.9884618944294192,2.0567033102639775e-05,0.0115175385374782,0.0,0.9867548306819,0.0016453626482111,0.0115998066698888,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8835083245066483,0.1044702446448587,0.0118157605174665,0.0002056703310263,2.0567033102639775e-05,0.0031159055150499,0.0006992791254897,0.7770327941342822,4.113406620527955e-05,0.1104141172115216,9.2551648961879e-05,0.0013060066020176,0.0,0.0016453626482111,0.0,0.0,0.1017553962753103,0.0038974527729502
SAMN52959001,"Columbia WWTP, MO",MU,2024-06-25,185482,185482,0,184502,514,458,8,184916,100,462,4,29706,155310,444,22,185013,3,466,0,179779,5209,285,209,185011,5,466,0,184953,63,457,9,185013,3,466,0,184302,675,505,0,185482,0,0,0,185482,0,0,0,161076,23913,465,28,0,522,104,155331,2,5418,5,71,0,675,0,0,23140,214,1.0,0.0,0.9947164684443772,0.0027711583873367,0.002469242298444,4.3130869841817534e-05,0.9969484909586914,0.0005391358730227,0.0024908077333649,2.1565434920908767e-05,0.1601557024401289,0.8373319243915852,0.0023937632762208,0.0001186098920649,0.9974714527555234,1.6174076190681576e-05,0.0025123731682858,0.0,0.9692530811615144,0.0280835876257534,0.0015365372381147,0.0011267939746174,0.997460670038063,2.695679365113596e-05,0.0025123731682858,0.0,0.9971479712317098,0.0003396556000043,0.0024638509397138,4.852222857204473e-05,0.9974714527555234,1.6174076190681576e-05,0.0025123731682858,0.0,0.993638196698332,0.0036391671429033,0.0027226361587647,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8684184988300752,0.1289235613159228,0.0025069818095556,0.0001509580444463,0.0,0.0028142892571785,0.0005607013079436,0.8374451429249199,1.0782717460454384e-05,0.0292103816003709,2.695679365113596e-05,0.0003827864698461,0.0,0.0036391671429033,0.0,0.0,0.1247560410174572,0.0011537507682686
SAMN52959002,"Columbia WWTP, MO",MU,2024-07-02,271306,271306,0,269247,917,1130,12,269922,242,1130,12,41572,228592,1113,29,270151,13,1142,0,259539,10586,621,560,270160,4,1142,0,270053,111,1122,20,270157,7,1142,0,268887,1189,1230,0,271306,0,0,0,271306,0,0,0,240088,30036,1118,64,0,929,254,228617,11,11146,4,131,0,1189,0,0,28540,485,1.0,0.0,0.9924107833958704,0.0033799473657051,0.0041650387385461,4.4230499878366126e-05,0.9948987490140284,0.000891981747547,0.0041650387385461,4.4230499878366126e-05,0.1532291950786197,0.8425615356829558,0.0041023788637184,0.000106890374706,0.9957428143867072,4.791637486822997e-05,0.0042092692384245,0.0,0.9566283089942722,0.0390186726426986,0.0022889283687054,0.0020640899943237,0.995775987261616,1.4743499959455376e-05,0.0042092692384245,0.0,0.9953815986377006,0.0004091321238748,0.0041355517386272,7.371749979727687e-05,0.9957649296366464,2.5801124929046907e-05,0.0042092692384245,0.0,0.9910838683995192,0.0043825053629481,0.0045336262375325,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8849343545664305,0.1107089411955504,0.0041208082386677,0.0002358959993512,0.0,0.0034241778655835,0.0009362122474254,0.8426536825577023,4.054462488850228e-05,0.0410827626370224,1.4743499959455376e-05,0.0004828496236721,0.0,0.0043825053629481,0.0,0.0,0.1051948722107141,0.0017876493700839
SAMN52959003,"Columbia WWTP, MO",MU,2024-07-09,240246,240246,0,238272,1182,782,10,237439,2015,780,12,25880,213574,446,346,239440,14,792,0,236360,3060,706,120,239453,1,792,0,239285,169,782,10,239233,221,792,0,239014,405,827,0,240246,0,0,0,240246,0,0,0,219812,19608,774,52,1,1192,2025,213916,11,3180,1,179,0,405,0,0,19059,278,1.0,0.0,0.9917834219924576,0.0049199570440298,0.0032549969614478,4.16240020645505e-05,0.9883161426204806,0.0083872364160069,0.0032466721610349,4.994880247746061e-05,0.1077229173430567,0.8889804616934309,0.0018564304920789,0.0014401904714334,0.9966451054335972,5.8273602890370706e-05,0.0032966209635123,0.0,0.9838249127977156,0.0127369446317524,0.0029386545457572,0.0004994880247746,0.9966992166362812,4.16240020645505e-06,0.0032966209635123,0.0,0.9959999334015966,0.0007034456348909,0.0032549969614478,4.16240020645505e-05,0.9957834885908612,0.0009198904456265,0.0032966209635123,0.0,0.9948719229456474,0.0016857720836142,0.0034423049707383,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9149455141812975,0.0816163432481706,0.0032216977597962,0.0002164448107356,4.16240020645505e-06,0.0049615810460944,0.0084288604180714,0.8904040025640385,4.5786402271005554e-05,0.013236432656527,4.16240020645505e-06,0.0007450696369554,0.0,0.0016857720836142,0.0,0.0,0.0793311855348268,0.0011571472573945
SAMN52959004,"Columbia WWTP, MO",MU,2024-07-16,98847,98847,0,96583,379,1878,7,96824,138,1877,8,27466,69496,1846,39,96959,3,1885,0,86813,10136,673,1225,96921,41,1885,0,96886,76,1880,5,96937,23,1887,0,96400,523,1924,0,98847,0,0,0,98847,0,0,0,80164,16787,1858,38,0,386,145,69534,2,11361,41,80,0,523,0,0,16199,576,1.0,0.0,0.9770959159104474,0.0038342084231185,0.0189990591520228,7.081651441116069e-05,0.9795340273351746,0.0013960969983914,0.0189889425071069,8.093315932704078e-05,0.2778637692595627,0.7030663550740033,0.0186753265147146,0.0003945491517193,0.9808997743988184,3.0349934747640297e-05,0.0190698756664339,0.0,0.8782562950822989,0.1025423128673606,0.0068085020283873,0.0123928900219531,0.980515341892015,0.000414782441551,0.0190698756664339,0.0,0.9801612593199592,0.0007688650136068,0.0190192924418545,5.0583224579400486e-05,0.9806772082106692,0.0002326828330652,0.0190901089562657,0.0,0.9752445698908414,0.0052910052910052,0.0194644248181533,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8109907230366121,0.1698281182028791,0.0187967262537052,0.0003844325068034,0.0,0.0039050249375297,0.0014669135128026,0.7034507875808067,2.0233289831760196e-05,0.1149352028893137,0.000414782441551,0.0008093315932704,0.0,0.0052910052910052,0.0,0.0,0.1638795309923417,0.0058271874715469
SAMN52959005,"Columbia WWTP, MO",MU,2024-07-23,59052,59052,0,58354,255,441,2,58540,69,441,2,19330,39279,435,8,58606,3,443,0,55999,2605,220,228,58601,8,443,0,58582,27,438,5,58607,2,443,0,58101,497,454,0,59052,0,0,0,59052,0,0,0,42210,16394,407,41,1,257,71,39285,2,2833,8,32,0,497,0,0,15904,163,1.0,0.0,0.9881799092325408,0.0043182280024385,0.0074679943100995,3.38684549210865e-05,0.991329675540202,0.0011684616947774,0.0074679943100995,3.38684549210865e-05,0.327338616812301,0.6651595204226783,0.0073663889453363,0.0001354738196843,0.9924473345525976,5.080268238162975e-05,0.0075018627650206,0.0,0.9482998035629616,0.0441136625347151,0.0037255300413195,0.0038610038610038,0.992362663415295,0.0001354738196843,0.0075018627650206,0.0,0.9920409130935448,0.0004572241414346,0.0074171916277179,8.467113730271625e-05,0.9924642687800582,3.38684549210865e-05,0.0075018627650206,0.0,0.9838955496850234,0.0084163110478899,0.0076881392670866,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7147937411095305,0.277619724988146,0.0068922305764411,0.0006943033258822,1.693422746054325e-05,0.0043520964573596,0.0012023301496985,0.6652611257874416,3.38684549210865e-05,0.047974666395719,0.0001354738196843,0.0005418952787373,0.0,0.0084163110478899,0.0,0.0,0.2693219535324798,0.0027602790760685
SAMN52959006,"Columbia WWTP, MO",MU,2024-07-30,157946,157945,1,146760,621,10550,14,147105,276,10552,12,58204,89177,10514,50,147356,25,10564,0,113664,33698,1074,9509,147351,30,10564,0,147317,64,10554,10,147369,10,10566,0,146373,964,10608,0,157945,0,0,0,157945,0,0,0,123681,23683,10533,48,2,635,288,89206,4,43207,30,73,0,964,0,0,22596,942,0.9999936687222216,6.331277778481253e-06,0.9291783267699087,0.0039317235004368,0.0667949805629772,8.863788889873755e-05,0.9313626176034848,0.0017474326668608,0.0668076431185341,7.597533334177503e-05,0.3685056918187228,0.5646043584516227,0.0665670545629519,0.000316563888924,0.9329517683258836,0.000158281944462,0.0668836184518759,0.0,0.7196383574132932,0.2133513985792612,0.0067997923340888,0.0602041203955782,0.9329201119369912,0.0001899383333544,0.0668836184518759,0.0,0.9327048484925228,0.0004052017778228,0.0668203056740911,6.331277778481253e-05,0.9330340749370036,6.331277778481253e-05,0.0668962810074329,0.0,0.9267281222696364,0.0061033517784559,0.0671621946741291,0.0,0.9999936687222216,0.0,0.0,0.0,0.9999936687222216,0.0,0.0,0.0,0.7830587669203398,0.1499436516277715,0.066687348840743,0.0003039013333671,1.2662555556962506e-05,0.0040203613893355,0.0018234080002026,0.5647879655071987,2.5325111113925012e-05,0.2735555189748395,0.0001899383333544,0.0004621832778291,0.0,0.0061033517784559,0.0,0.0,0.1430615526825624,0.0059640636673293
SAMN52959007,"Columbia WWTP, MO",MU,2024-08-06,30576,30576,0,28815,415,1342,4,29191,39,1340,6,10952,18278,1336,10,29230,0,1346,0,26087,3143,1096,250,29230,0,1346,0,29228,2,1346,0,29229,1,1346,0,28913,313,1350,0,30576,0,0,0,30576,0,0,0,21837,7393,1336,10,0,419,44,18287,0,3393,0,2,0,313,0,0,7052,1066,1.0,0.0,0.9424058084772372,0.0135727367870225,0.0438906331763474,0.0001308215593929,0.954703035060178,0.0012755102040816,0.0438252223966509,0.0001962323390894,0.358189429618001,0.5977891156462585,0.0436944008372579,0.0003270538984824,0.9559785452642596,0.0,0.0440214547357404,0.0,0.8531855049712193,0.1027930402930402,0.0358451072736787,0.0081763474620617,0.9559785452642596,0.0,0.0440214547357404,0.0,0.955913134484563,6.541077969649399e-05,0.0440214547357404,0.0,0.9559458398744112,3.270538984824699e-05,0.0440214547357404,0.0,0.9456109366823652,0.0102367870225013,0.0441522762951334,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7141875981161695,0.24179094714809,0.0436944008372579,0.0003270538984824,0.0,0.0137035583464154,0.0014390371533228,0.5980834641548928,0.0,0.110969387755102,0.0,6.541077969649399e-05,0.0,0.0102367870225013,0.0,0.0,0.2306384092098377,0.0348639455782312
SAMN52959008,"Columbia WWTP, MO",MU,2024-08-13,134757,134757,0,105627,181,28941,8,105746,62,28946,3,77240,28568,28890,59,105804,4,28949,0,71280,34524,4782,24171,105807,1,28949,0,105796,12,28947,2,105800,7,28950,0,105299,502,28956,0,134757,0,0,0,134757,0,0,0,63321,42484,28930,22,0,189,65,28627,4,58695,1,14,0,502,0,0,41972,4688,1.0,0.0,0.783833121841537,0.0013431584259073,0.2147643536142834,5.936611827214913e-05,0.7847161928508352,0.0004600874166091,0.2148014574382035,2.226229435205592e-05,0.5731798719175998,0.2119964083498445,0.2143858946102985,0.000437825122257,0.7851465972083083,2.9683059136074564e-05,0.2148237197325556,0.0,0.5289521138048487,0.2561944834034595,0.0354860971971771,0.1793673055945145,0.7851688595026604,7.420764784018641e-06,0.2148237197325556,0.0,0.7850872310900361,8.904917740822368e-05,0.2148088782029876,1.4841529568037282e-05,0.7851169141491722,5.194535348813049e-05,0.2148311404973396,0.0,0.7813991109923789,0.0037252239215773,0.2148756650860437,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4698902468888443,0.3152637710842479,0.2146827252016593,0.0001632568252484,0.0,0.0014025245441795,0.0004823497109612,0.2124342334721016,2.9683059136074564e-05,0.4355617889979741,7.420764784018641e-06,0.0001038907069762,0.0,0.0037252239215773,0.0,0.0,0.3114643395148304,0.0347885453074793
SAMN52959009,"Columbia WWTP, MO",MU,2024-08-20,58276,58276,0,51239,202,6832,3,51332,109,6822,13,22754,28687,6811,24,51441,0,6835,0,45028,6405,3260,3583,51420,21,6835,0,51424,17,6835,0,51430,10,6836,0,51039,400,6837,0,58276,0,0,0,58276,0,0,0,35398,16036,6827,15,0,205,121,28711,0,9988,21,17,0,400,0,0,15608,3205,1.0,0.0,0.8792470313679731,0.0034662639851739,0.1172352254787562,5.147916809664356e-05,0.8808428855789691,0.001870409774178,0.1170636282517674,0.0002230763950854,0.3904523302903425,0.4922609650628046,0.1168748713020797,0.0004118333447731,0.8827132953531471,0.0,0.1172867046468529,0.0,0.7726679936852221,0.109908023886334,0.0559406959983526,0.0614832864300912,0.8823529411764706,0.0003603541766765,0.1172867046468529,0.0,0.8824215800672661,0.0002917152858809,0.1172867046468529,0.0,0.8825245384034593,0.0001715972269888,0.1173038643695517,0.0,0.8758150868281969,0.0068638890795524,0.1173210240922506,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6074198640949963,0.2751733131992587,0.1171494268652618,0.0002573958404832,0.0,0.0035177431532706,0.0020763264465646,0.4926727984075777,0.0,0.1713913103164253,0.0003603541766765,0.0002917152858809,0.0,0.0068638890795524,0.0,0.0,0.2678289518841376,0.0549969112499142
SAMN52959010,"Columbia WWTP, MO",MU,2024-08-27,6402,6402,0,5998,28,375,1,6015,11,376,0,2288,3738,375,1,6026,0,376,0,5350,676,275,101,6026,0,376,0,6023,3,376,0,6026,0,376,0,5960,66,376,0,6402,0,0,0,6402,0,0,0,4450,1576,374,2,0,29,11,3739,0,777,0,3,0,66,0,0,1506,271,1.0,0.0,0.9368947203998752,0.0043736332396126,0.0585754451733833,0.000156201187129,0.9395501405810684,0.0017182130584192,0.0587316463605123,0.0,0.3573883161512027,0.5838800374882849,0.0585754451733833,0.000156201187129,0.9412683536394876,0.0,0.0587316463605123,0.0,0.8356763511402686,0.1055920024992189,0.0429553264604811,0.0157763199000312,0.9412683536394876,0.0,0.0587316463605123,0.0,0.9407997500781006,0.000468603561387,0.0587316463605123,0.0,0.9412683536394876,0.0,0.0587316463605123,0.0,0.930959075288972,0.0103092783505154,0.0587316463605123,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6950952827241487,0.2461730709153389,0.0584192439862542,0.000312402374258,0.0,0.0045298344267416,0.0017182130584192,0.584036238675414,0.0,0.1213683223992502,0.0,0.000468603561387,0.0,0.0103092783505154,0.0,0.0,0.2352389878163074,0.042330521711965
